timestamp,mode,matrix_name,procs,run_id,time_avg,comm_time,comp_time,gflops,status
20260106_162929,strong,2_kkt.mtx,2,10,1.499784e-02,6.232882e-03,9.982786e-03,1.0842,OK
20260106_162929,strong,2_kkt.mtx,4,1,1.254793e-02,7.639213e-03,5.832410e-03,1.2959,OK
20260106_162929,strong,2_kkt.mtx,4,2,1.344538e-02,8.592200e-03,5.815902e-03,1.2094,OK
20260106_162929,strong,2_kkt.mtx,4,3,1.297607e-02,8.138218e-03,5.794306e-03,1.2531,OK
20260106_162929,strong,2_kkt.mtx,4,4,1.313602e-02,8.386822e-03,5.793433e-03,1.2379,OK
20260106_162929,strong,2_kkt.mtx,4,5,1.302341e-02,8.269358e-03,5.824347e-03,1.2486,OK
20260106_162929,strong,2_kkt.mtx,4,6,1.352460e-02,8.473859e-03,5.812531e-03,1.2023,OK
20260106_162929,strong,2_kkt.mtx,4,7,1.335028e-02,8.420963e-03,5.731664e-03,1.2180,OK
20260106_162929,strong,2_kkt.mtx,4,8,1.220056e-02,7.350373e-03,6.072087e-03,1.3328,OK
20260106_162929,strong,2_kkt.mtx,4,9,1.332310e-02,8.554325e-03,5.679111e-03,1.2205,OK
20260106_162929,strong,2_kkt.mtx,4,10,1.406746e-02,9.335141e-03,5.747375e-03,1.1559,OK
20260106_162929,strong,2_kkt.mtx,8,1,1.329994e-02,1.045556e-02,4.381981e-03,1.2226,OK
20260106_162929,strong,2_kkt.mtx,8,2,1.180198e-02,8.697658e-03,3.620872e-03,1.3778,OK
20260106_162929,strong,2_kkt.mtx,8,3,1.195547e-02,9.085221e-03,3.908701e-03,1.3601,OK
20260106_162929,strong,2_kkt.mtx,8,4,1.166806e-02,8.800917e-03,3.727007e-03,1.3936,OK
20260106_162929,strong,2_kkt.mtx,8,5,1.179728e-02,8.628826e-03,3.775034e-03,1.3783,OK
20260106_162929,strong,2_kkt.mtx,8,6,1.324453e-02,1.031599e-02,4.064598e-03,1.2277,OK
20260106_162929,strong,2_kkt.mtx,8,7,1.165617e-02,8.773499e-03,3.823891e-03,1.3950,OK
20260106_162929,strong,2_kkt.mtx,8,8,1.270398e-02,9.880862e-03,4.110947e-03,1.2800,OK
20260106_162929,strong,2_kkt.mtx,8,9,1.629423e-02,1.326043e-02,6.346140e-03,0.9979,OK
20260106_162929,strong,2_kkt.mtx,8,10,1.432976e-02,1.142719e-02,6.201944e-03,1.1347,OK
20260106_162929,strong,2_kkt.mtx,16,1,1.733242e-02,1.482563e-02,6.450176e-03,0.9382,OK
20260106_162929,strong,2_kkt.mtx,16,2,1.996010e-02,1.746414e-02,7.226005e-03,0.8147,OK
20260106_162929,strong,2_kkt.mtx,16,3,1.263153e-02,1.049111e-02,3.360796e-03,1.2873,OK
20260106_162929,strong,2_kkt.mtx,16,4,1.220188e-02,9.761944e-03,3.017354e-03,1.3326,OK
20260106_162929,strong,2_kkt.mtx,16,5,1.297858e-02,1.084001e-02,3.302097e-03,1.2529,OK
20260106_162929,strong,2_kkt.mtx,16,6,1.286937e-02,1.065121e-02,3.623867e-03,1.2635,OK
20260106_162929,strong,2_kkt.mtx,16,7,1.217606e-02,9.744105e-03,3.140841e-03,1.3355,OK
20260106_162929,strong,2_kkt.mtx,16,8,1.237600e-02,9.990220e-03,3.095002e-03,1.3139,OK
